대여소명,대여소_ID_num,지하철역_수_1km,학교_수_1km,위도,경도,경度
번1동_003_1,979,1.0,9.0,37.635391,127.034554,127.034554
번2동_002_1,980,0.0,9.0,37.632381,127.039307,127.039307
공덕동_013_1,981,6.0,21.0,37.549332,126.954918,126.954918
번3동_014_1,982,0.0,9.0,37.625526,127.037323,127.037323
송천동_012_1,983,3.0,12.0,37.619808,127.028526,127.028526
우이동_019_2,984,3.0,8.0,37.649597,127.013847,127.013847
인수동_023_1,985,3.0,7.0,37.635612,127.022995,127.022995
수유2동_028_1,986,3.0,7.0,37.647934,127.014572,127.014572
번1동_025_1,987,3.0,5.0,37.63797,127.025902,127.025902
을지로동_001_3,988,10.0,7.0,37.567524,127.003822,127.003822
공덕동_011_1,989,3.0,21.0,37.553001,126.956688,126.956688
오류2동_013_1,990,2.0,7.0,37.487206,126.839233,126.839233
상암동_002_1,991,0.0,4.0,37.584568,126.880211,126.880211
상암동_024_1,992,0.0,4.0,37.583202,126.882767,126.882767
상암동_026_1,993,1.0,6.0,37.582077,126.887665,126.887665
상암동_042_1,994,2.0,4.0,37.575977,126.888069,126.888069
서교동_041_1,995,5.0,7.0,37.556576,126.928856,126.928856
신수동_027_1,996,4.0,10.0,37.547245,126.935028,126.935028
용강동_040_1,997,6.0,11.0,37.542431,126.946999,126.946999
합정동_006_1,998,4.0,5.0,37.551754,126.9123,126.9123
연남동_010_1,999,4.0,9.0,37.564651,126.922127,126.922127
신촌동_010_1,1000,5.0,24.0,37.556953,126.946342,126.946342
성산2동_026_1,1001,2.0,10.0,37.565044,126.903603,126.903603
공덕동_061_1,1002,7.0,17.0,37.545547,126.956795,126.956795
성산2동_012_1,1003,2.0,8.0,37.566246,126.902184,126.902184
상암동_054_1,1004,2.0,6.0,37.5793,126.887314,126.887314
상암동_024_2,1005,2.0,6.0,37.581982,126.89045,126.89045
상암동_024_3,1006,5.0,8.0,37.577114,126.898361,126.898361
서교동_008_1,1007,7.0,10.0,37.554501,126.920235,126.920235
서교동_001_1,1008,3.0,7.0,37.558296,126.925385,126.925385
북아현동_002_1,1009,4.0,26.0,37.557549,126.959381,126.959381
남영동_001_1,1010,5.0,3.0,37.534889,126.975624,126.975624
한강로동_009_1,1011,6.0,7.0,37.536079,126.973419,126.973419
원효로1동_017_1,1012,9.0,8.0,37.537399,126.968925,126.968925
효창동_004_1,1013,6.0,12.0,37.540478,126.958115,126.958115
원효로2동_013_1,1014,2.0,5.0,37.534527,126.947182,126.947182
한강로동_012_1,1015,5.0,4.0,37.528416,126.96595,126.96595
한남동_001_1,1016,2.0,3.0,37.538509,127.00148,127.00148
한강로동_002_1,1017,3.0,5.0,37.522724,126.972771,126.972771
홍제2동_004_1,1018,2.0,4.0,37.582245,126.950645,126.950645
한남동_001_2,1019,2.0,4.0,37.535088,126.997971,126.997971
용산2가동_010_2,1020,2.0,5.0,37.534409,126.986893,126.986893
이태원2동_009_1,1021,2.0,5.0,37.541885,126.995865,126.995865
이촌1동_035_1,1022,3.0,5.0,37.520748,126.970825,126.970825
한강로동_027_2,1023,2.0,4.0,37.52177,126.977005,126.977005
한남동_023_1,1024,2.0,3.0,37.535141,127.006004,127.006004
신촌동_001_1,1025,1.0,12.0,37.566261,126.946671,126.946671
후암동_020_1,1026,7.0,6.0,37.551548,126.97686,126.97686
서빙고동_015_1,1027,1.0,2.0,37.519909,126.989235,126.989235
홍은1동_045_1,1028,2.0,6.0,37.592934,126.941292,126.941292
홍은2동_050_1,1029,1.0,8.0,37.589283,126.936943,126.936943
홍제1동_033_1,1030,2.0,4.0,37.582211,126.950165,126.950165
충현동_038_1,1031,9.0,22.0,37.560463,126.965523,126.965523
천연동_027_2,1032,2.0,13.0,37.572205,126.959747,126.959747
신수동_026_1,1033,3.0,8.0,37.545242,126.934113,126.934113
홍은2동_012_1,1034,0.0,14.0,37.583698,126.924965,126.924965
북아현동_004_1,1035,5.0,22.0,37.561455,126.95575,126.95575
신촌동_024_1,1036,7.0,13.0,37.555504,126.937202,126.937202
신촌동_012_1,1037,2.0,15.0,37.564068,126.945328,126.945328
연희동_046_1,1038,2.0,8.0,37.565197,126.929855,126.929855
남가좌1동_015_1,1039,1.0,9.0,37.569836,126.918091,126.918091
북가좌1동_017_1,1040,1.0,12.0,37.570652,126.912987,126.912987
북가좌1동_013_1,1041,5.0,9.0,37.574284,126.906464,126.906464
남가좌1동_020_1,1042,1.0,10.0,37.572254,126.9151,126.9151
북가좌1동_010_1,1043,3.0,11.0,37.574478,126.910049,126.910049
연희동_055_1,1044,0.0,9.0,37.575642,126.927826,126.927826
홍은2동_032_1,1045,1.0,8.0,37.583336,126.936287,126.936287
홍은2동_026_1,1046,0.0,8.0,37.581318,126.935997,126.935997
북가좌1동_028_1,1047,4.0,10.0,37.576263,126.911324,126.911324
남가좌1동_016_1,1048,1.0,7.0,37.574551,126.918266,126.918266
남가좌1동_019_1,1049,1.0,8.0,37.572159,126.921188,126.921188
홍은1동_005_1,1050,1.0,6.0,37.591862,126.944214,126.944214
충현동_037_1,1051,8.0,16.0,37.561317,126.966583,126.966583
북가좌1동_022_1,1052,1.0,11.0,37.575138,126.91394,126.91394
길음1동_034_1,1053,3.0,16.0,37.609295,127.018478,127.018478
월곡2동_030_1,1054,2.0,9.0,37.601086,127.041237,127.041237
석관동_001_1,1055,4.0,9.0,37.614784,127.067001,127.067001
동선동_007_1,1056,4.0,20.0,37.592827,127.016289,127.016289
삼선동_002_2,1057,4.0,20.0,37.592365,127.016289,127.016289
동선동_021_1,1058,3.0,17.0,37.594158,127.018967,127.018967
삼선동_002_3,1059,5.0,18.0,37.590881,127.011703,127.011703
남가좌1동_016_2,1060,1.0,8.0,37.573818,126.919235,126.919235
석관동_068_1,1061,2.0,6.0,37.606461,127.061623,127.061623
장위3동_006_1,1062,5.0,10.0,37.616882,127.056068,127.056068
돈암1동_015_1,1063,3.0,14.0,37.597099,127.022629,127.022629
돈암1동_003_1,1064,4.0,13.0,37.598183,127.021179,127.021179
정릉1동_019_1,1065,2.0,12.0,37.602425,127.019981,127.019981
장위3동_010_1,1066,1.0,10.0,37.618179,127.051834,127.051834
장위3동_012_1,1067,1.0,11.0,37.618443,127.051453,127.051453
이촌1동_001_1,1068,2.0,2.0,37.517296,126.959145,126.959145
북가좌2동_058_1,1069,1.0,10.0,37.57946,126.91713,126.91713
이촌2동_012_1,1070,1.0,2.0,37.517319,126.958298,126.958298
진관동_020_1,1071,0.0,4.0,37.637348,126.935844,126.935844
불광2동_019_1,1072,1.0,13.0,37.62672,126.929016,126.929016
응암2동_031_1,1073,1.0,11.0,37.590363,126.923012,126.923012
진관동_003_3,1074,1.0,5.0,37.643509,126.924103,126.924103
진관동_004_1,1075,0.0,7.0,37.633102,126.931503,126.931503
녹번동_062_1,1076,1.0,4.0,37.601009,126.935928,126.935928
신사2동_013_1,1077,2.0,8.0,37.591862,126.906082,126.906082
녹번동_021_1,1078,3.0,8.0,37.604126,126.925087,126.925087
